m1 m2 chi_1 chi_2 distance inclination ra dec psi phi_c tc
7.028569549205705869e+01 6.271482020891753706e+01 7.354331103290310256e-01 2.531750252912217114e-01 2.616616160575119352e+02 1.635671674702182665e+00 5.162338008046273963e+00 -9.875685247082334195e-01 1.377889827316408411e+00 1.270696035288744863e+00 3.987967532590136255e+00
7.152020097856102154e+01 6.134564585273004411e+01 5.612869309278050167e-01 3.084783384716840438e-01 3.186868829943317110e+02 1.729165448122724769e+00 4.986232944542405399e+00 -9.955796738178757099e-01 1.496594882986451935e+00 1.441712549374493779e+00 3.986358881534889598e+00
7.061740006796883051e+01 6.239542947220304825e+01 7.724361794566123596e-01 2.771718474684542466e-01 2.217085535185804019e+02 1.624950995747318272e+00 5.053568580399628196e+00 -9.852558974847744899e-01 1.555403003589156175e+00 1.322394461572167446e+00 3.986953152330692252e+00
6.829253211172097338e+01 6.457880685419441136e+01 7.111257954042574658e-01 2.367319885495711984e-01 2.481418980430034082e+02 1.538955630506116279e+00 4.863668166789069325e+00 -9.713014448238561638e-01 1.691469930516672049e+00 1.328799148573059696e+00 3.985277578143219035e+00
7.092474459506625806e+01 6.202402233456103886e+01 6.312434958612500591e-01 3.546053031903441677e-01 2.352123913623291287e+02 1.726946890796549505e+00 5.412425384764749658e+00 -9.299545475355365243e-01 1.225584339385453747e+00 1.381522052421557678e+00 3.990490974991790285e+00
7.152263680269727786e+01 6.149606683562279130e+01 6.163611903511666545e-01 3.143786261856876818e-01 2.884134482971705893e+02 1.674364969294571681e+00 4.843053430001995174e+00 -1.003122709899173071e+00 1.677379742980082744e+00 1.280514136437701511e+00 3.985357282835920945e+00
6.887022937689465607e+01 6.397660750260588713e+01 6.255671739200802106e-01 3.051995979394433456e-01 2.806119030935041678e+02 1.530680724208235866e+00 4.725656647580952274e+00 -9.853434598350589990e-01 1.802031237265200758e+00 1.228824837752101384e+00 3.984537304354076603e+00
7.126289451338428194e+01 6.171586847372275031e+01 6.144142447634780568e-01 3.272149606067803473e-01 2.359558084591422187e+02 1.679221252910380491e+00 5.169962444621230446e+00 -1.049949421130558669e+00 1.387822015270676168e+00 1.250382878099680850e+00 3.988136397903326635e+00
6.705971577491821733e+01 6.619979280289658163e+01 6.631958222327342112e-01 4.062999015997677543e-01 2.529628763105623079e+02 1.650428633375042864e+00 4.372491132675394354e+00 -9.179301723459114548e-01 2.128186549611257750e+00 1.099097060495570100e+00 3.982061811441639954e+00
7.024524760617978814e+01 6.284053245715036695e+01 6.066289816228284115e-01 3.583490337332812525e-01 2.380875443823610169e+02 1.645751322827634144e+00 4.690826472517133361e+00 -1.001992588258687977e+00 1.870448756549203617e+00 1.202649273668802810e+00 3.984281602841106107e+00
7.054844918529366282e+01 6.228271223133614143e+01 8.282578808278271421e-01 1.696115474023958958e-01 2.513961732195939476e+02 1.607433382184023873e+00 5.154075576915913004e+00 -9.715440459984665544e-01 1.379236676477124890e+00 1.408448051850222260e+00 3.987868776018197892e+00
7.054914848074626832e+01 6.246824103335327294e+01 6.291121184377576059e-01 3.058688477354212787e-01 2.263028887347725231e+02 1.583124207469531308e+00 4.130816107259485115e+00 -8.261863702099956352e-01 2.382082674507217224e+00 1.250860615060370717e+00 3.980785992622776437e+00
6.996012657003240065e+01 6.311733996582920270e+01 7.320197471696019420e-01 2.473175867493170310e-01 2.801691497606854000e+02 1.634231014281021022e+00 5.038760211868991590e+00 -9.897485365645536382e-01 1.488973319341576618e+00 1.219600643267728657e+00 3.986913631910182776e+00
7.048155303046348763e+01 6.242666683568224073e+01 7.502213791784517749e-01 2.389296199419980171e-01 3.092871446403040068e+02 1.751230806309975963e+00 4.951643377606293583e+00 -1.033211692942863413e+00 1.540393569012843411e+00 1.450797508326274743e+00 3.986279577462032986e+00
7.121824432382915404e+01 6.161553527186655543e+01 6.421518544395045103e-01 2.876952583227853077e-01 2.649046269391672013e+02 1.563322989583257216e+00 4.724670879348921382e+00 -9.521373997772974995e-01 1.847319788669311347e+00 1.387195130893781769e+00 3.984193515002730113e+00
6.966232820258883862e+01 6.308303991623735385e+01 5.740244051423697424e-01 3.596732796203726545e-01 2.594768067003336682e+02 1.561866924687625335e+00 5.209417102580589543e+00 -9.475173368299583121e-01 1.372973372803947933e+00 1.361438733666727074e+00 3.988383159589467652e+00
6.969659329838553674e+01 6.326722938866114276e+01 6.020952159716790320e-01 3.184971663402507702e-01 1.977496898647934529e+02 1.599979815680935502e+00 5.459025664286249580e+00 -9.003262140794098256e-01 1.218378363062492475e+00 1.248412533194235507e+00 3.991187411774757443e+00
7.023782428468618377e+01 6.272512369364354612e+01 6.112856754483118049e-01 2.816600894589480486e-01 2.364646541502168873e+02 1.574333533537940255e+00 5.019934467300116943e+00 -9.834288632112002659e-01 1.577613328777110135e+00 1.269061256829854933e+00 3.986623062372072646e+00
7.022746815100451556e+01 6.286753771289681936e+01 5.827455508968448772e-01 3.381639052367821918e-01 2.799152677226596779e+02 1.692923310910713353e+00 5.129327031161682982e+00 -9.761534209358966319e-01 1.381820775360961262e+00 1.198249585016329721e+00 3.987660724563697912e+00
7.112685144412425586e+01 6.150056167192929024e+01 6.042388990225165957e-01 2.872145215330443868e-01 2.479382581432941492e+02 1.658729809949016865e+00 5.152905495913550737e+00 -1.002499267325750898e+00 1.407290058142899980e+00 1.541796419269042540e+00 3.987875034282680087e+00
7.156598008011229695e+01 6.125468794437318110e+01 5.342800411609753830e-01 3.479445047651231748e-01 2.288438482278897368e+02 1.605383463551474765e+00 4.655012040205612323e+00 -9.923282503199627458e-01 1.912434092392887308e+00 1.419836268653803746e+00 3.983990643211785976e+00
7.070717176635743328e+01 6.221459317625939889e+01 5.641777505277842941e-01 3.686844997989495165e-01 2.066623757758716522e+02 1.658322879117940518e+00 4.425020946189731852e+00 -9.805187195688439550e-01 2.145972922352266998e+00 1.431111383660655045e+00 3.982731276467864845e+00
7.155363456541101641e+01 6.127225129779605339e+01 4.894786584115114469e-01 3.535163636334710535e-01 2.743601465068695120e+02 1.652452741313035434e+00 4.978113081734259815e+00 -1.007407434106694755e+00 1.573076303262388009e+00 1.406675824754228810e+00 3.986337616384512117e+00
7.025148715099571461e+01 6.275493690608615793e+01 7.614335619020163870e-01 2.214603075792211939e-01 3.155212485053797309e+02 1.605071113385823312e+00 4.841057474376330383e+00 -9.958296313473804506e-01 1.652382935558668775e+00 1.334539191405020198e+00 3.985325689522549730e+00
6.949687972051057727e+01 6.336221873475766841e+01 6.281241190649314854e-01 3.063512970687037318e-01 2.732020314570787036e+02 1.649771933053493900e+00 4.960903408217041566e+00 -9.729998468942883116e-01 1.562518852684044113e+00 1.350358706107948503e+00 3.986188819643911696e+00
7.007650264366245096e+01 6.309565879556507184e+01 6.534860354279495853e-01 3.062447638560870100e-01 2.212533134738422689e+02 1.631734946780076800e+00 5.353883687127431124e+00 -9.512371142760982501e-01 1.268867277582979014e+00 1.142985032120290123e+00 3.989863323803523265e+00
6.966483874958291267e+01 6.312411337104107645e+01 6.681145382504604102e-01 2.473895181010761779e-01 2.821247222553244569e+02 1.620129964049172644e+00 4.880623289231098560e+00 -1.008502771537825859e+00 1.633756265639035199e+00 1.407914119932447639e+00 3.985609066738580175e+00
7.258864570796308158e+01 6.040084370836060401e+01 5.756196072083910042e-01 3.267043579307760126e-01 2.772736168705508817e+02 1.648192142468395627e+00 5.022373822371107188e+00 -9.835797396271704907e-01 1.518206495298884739e+00 1.318259857892335685e+00 3.986678847279740090e+00
6.952657126256845288e+01 6.342820212343164599e+01 5.849426254191734120e-01 3.850999705351917934e-01 2.333797974319271873e+02 1.639439559991747730e+00 5.475438041390633614e+00 -9.217724885587452732e-01 1.139553114581432602e+00 1.277247198721219945e+00 3.991249436908522963e+00
7.287443250846517628e+01 5.996015883684606251e+01 4.084430815048157304e-01 3.713981814447036012e-01 2.997421614180099709e+02 1.621934869828153047e+00 4.803955337300065409e+00 -9.853229492781450105e-01 1.732293826580780127e+00 1.391495984111523976e+00 3.984951530953092291e+00
7.152319159708517304e+01 6.130273140640802154e+01 5.914288263856043448e-01 3.093681739789885810e-01 2.499953246398231386e+02 1.578072389827838595e+00 4.719517641147738196e+00 -9.567533796248591793e-01 1.857942304295835845e+00 1.377568389652647607e+00 3.984239691116471693e+00
7.212704712623275327e+01 6.064422276639771070e+01 4.736809083008090560e-01 4.208286722582176287e-01 2.728822631703243928e+02 1.690690170315563678e+00 4.781123147514287020e+00 -9.719200293091420084e-01 1.793230518346095259e+00 1.533651720371048688e+00 3.984716081746165983e+00
7.147468915346669860e+01 6.164832256625201978e+01 6.483405044734181777e-01 3.392366081994337423e-01 2.609820244514934302e+02 1.630205244835088552e+00 4.659998163735492582e+00 -9.878218383584465023e-01 1.888566501101987871e+00 1.186428218451588412e+00 3.983999737910669747e+00
6.932995376123123776e+01 6.345370018920962707e+01 6.109619732650528601e-01 3.396687889654074755e-01 2.684041702523556978e+02 1.643307655592106453e+00 4.804695427917701878e+00 -9.883852229480956098e-01 1.738310490755784476e+00 1.455265119248729366e+00 3.984955765150846485e+00
6.932131045795755142e+01 6.359065661459030849e+01 6.760403454969532433e-01 2.670744050862006724e-01 2.457515897634590374e+02 1.605504784716763611e+00 4.853123445193759267e+00 -1.002770183327928555e+00 1.700366511930763824e+00 1.250457324640225076e+00 3.985513811964099151e+00
7.326618307862324286e+01 5.947409561711857862e+01 5.812072786465742880e-01 2.895694799795689445e-01 2.485252105177141004e+02 1.696542904113525596e+00 5.348457042121006921e+00 -9.816815552624956753e-01 1.234390877803169584e+00 1.520199206865374242e+00 3.989711833430473753e+00
7.180181621697845173e+01 6.088165229515670518e+01 4.393422680043324036e-01 3.362854694440085557e-01 1.803058835488383238e+02 1.648939504900030162e+00 4.917894488394793484e+00 -1.085122459118465832e+00 1.685494649858404470e+00 1.505909460862066007e+00 3.986328358498221647e+00
6.991660812942625114e+01 6.319865579985597748e+01 7.397571906182143220e-01 2.798468035130681208e-01 2.440841913865660331e+02 1.626848122668237195e+00 5.187079695860094652e+00 -9.577750048815948380e-01 1.411459667054832279e+00 1.216930422214689056e+00 3.988185069785796344e+00
7.194128146970972182e+01 6.064759496096821323e+01 5.749813441092258559e-01 3.162634709505982578e-01 2.599611037964248794e+02 1.613662484503653571e+00 5.172009125038504962e+00 -9.713167350573835845e-01 1.420273823491152276e+00 1.562198240138376715e+00 3.988088244327112619e+00
7.083294045108881676e+01 6.191337113581577256e+01 5.329703422976705962e-01 3.520359081182636851e-01 2.459272719247793475e+02 1.647799834398480101e+00 5.250346367380559265e+00 -9.605651968221409209e-01 1.360776984054588690e+00 1.434993280646239766e+00 3.988851848612655182e+00
7.132278812162260806e+01 6.125915730382706670e+01 5.901658313646424014e-01 2.847263361790361436e-01 2.548037187119813325e+02 1.612169977914573060e+00 4.903901365583780425e+00 -9.686012990453123361e-01 1.683518473225552592e+00 1.575686022446067591e+00 3.985660150153478742e+00
7.091921442669479347e+01 6.218728456406508798e+01 6.121719699837742112e-01 4.004698405685910845e-01 3.421810663980398886e+02 1.734117469524214306e+00 5.034146804105472661e+00 -9.794234346089724097e-01 1.496255114327146307e+00 1.251769141879854663e+00 3.986735347732244694e+00
7.206115652064383426e+01 6.056283421251229271e+01 4.817449028016632107e-01 3.536274148540667905e-01 2.969306709680054723e+02 1.640778130628042231e+00 4.611455945796770983e+00 -9.829843608326225279e-01 1.928713902835162086e+00 1.537938930443446095e+00 3.983686701990733159e+00
6.996196404906521593e+01 6.273887032314737411e+01 4.769779004660337773e-01 3.582672816440535257e-01 2.626904819421038155e+02 1.576358374395988138e+00 4.308372618587757330e+00 -8.711684666454662107e-01 2.205475042060897284e+00 1.384683044474092739e+00 3.981554894801776268e+00
7.070913633262424014e+01 6.239835920524853918e+01 7.327265511816551946e-01 2.828750033390129981e-01 2.795631198449021326e+02 1.634069916076301032e+00 4.568534666394890031e+00 -9.769043306937313931e-01 1.921776606992211089e+00 1.223297895416219472e+00 3.983460859863805492e+00
7.159868617806542090e+01 6.126078783400990346e+01 6.196024709193763691e-01 3.639418123453438958e-01 2.564582366264395432e+02 1.667868227196529718e+00 5.221864080081887849e+00 -9.471646232574502111e-01 1.345061895617630343e+00 1.367292687044195709e+00 3.988583362487980732e+00
7.025405009894019770e+01 6.239635110043640509e+01 5.831158635298931969e-01 3.192586497736505935e-01 3.335234177807590186e+02 1.611427427326959538e+00 4.948383352082504238e+00 -9.684390192781966444e-01 1.542254016122712956e+00 1.475362611178465233e+00 3.986034728269605587e+00
7.090897683679506258e+01 6.221244811405303921e+01 7.272812072595564725e-01 2.776166288191500020e-01 2.314253747325871586e+02 1.602230819439631082e+00 4.466035441502901548e+00 -9.506048449852739779e-01 2.086957436914975705e+00 1.218294686740705179e+00 3.982699865617952195e+00
7.125929102433707385e+01 6.159971916416606064e+01 6.424333413503025003e-01 2.626954714492279463e-01 2.654686558578574704e+02 1.568590410518654332e+00 4.711787866110737966e+00 -9.829884270894424514e-01 1.847421335593254721e+00 1.397676532178337316e+00 3.984281949350206187e+00
7.071214893023457648e+01 6.221138917370804222e+01 6.476643536528028378e-01 2.560212976421408770e-01 2.736467626603315466e+02 1.608410041476428409e+00 5.133668714740782235e+00 -9.434796839543222458e-01 1.430835053907495436e+00 1.346465773412331757e+00 3.987702999155373185e+00
7.117572461930329553e+01 6.171910307633443438e+01 5.793552587661092712e-01 3.263578330783440395e-01 2.278556327936325090e+02 1.646849071498716066e+00 4.993599497928273401e+00 -1.002757457206012948e+00 1.611068518161258067e+00 1.331056691657434010e+00 3.986532583294835508e+00
6.929535384616674776e+01 6.370148360132660059e+01 6.255453218794232439e-01 3.716336781354420138e-01 2.376309853142373640e+02 1.698461035054596335e+00 5.365358798870981438e+00 -9.583802090300329590e-01 1.243865432619286615e+00 1.316235477027146050e+00 3.989943081410309844e+00
7.138873595156751151e+01 6.142808629670616227e+01 6.078194142561663682e-01 3.044684636033447300e-01 2.777178170168269276e+02 1.652891965267227148e+00 5.046564964849993729e+00 -1.019466650254317264e+00 1.465049427463766873e+00 1.383192960591187459e+00 3.986927125516738002e+00
7.077347324946380525e+01 6.221436978520679872e+01 6.139061143150812416e-01 2.983487496670213512e-01 2.484893056544816830e+02 1.608327465620458252e+00 4.935246292474306351e+00 -9.900483931296270024e-01 1.665587284230082510e+00 1.341477693510646052e+00 3.985986561449225807e+00
7.130460490109099680e+01 6.133754855090254665e+01 5.836879305893488690e-01 2.629538151705239635e-01 2.228830967971708787e+02 1.616239125811336885e+00 5.449623457067885646e+00 -8.961767909220199613e-01 1.171449778389674901e+00 1.531042819757249651e+00 3.991127400216920584e+00
7.168368242480815411e+01 6.100684561040601750e+01 5.321565708697182373e-01 2.945403945546195001e-01 2.599311603961537003e+02 1.574217536391033123e+00 4.583258432682079331e+00 -9.490874299617131360e-01 1.966802472266529378e+00 1.438813231825694317e+00 3.983285639870924211e+00
7.027891812557750484e+01 6.302362908661968532e+01 6.790115651015227183e-01 3.225404804392036362e-01 2.402542762284082016e+02 1.652464064672408917e+00 4.808919044246464658e+00 -9.865492512545662729e-01 1.759888310515887122e+00 1.119438513225990528e+00 3.984931867688278118e+00
7.192396138502682845e+01 6.114801365948130041e+01 7.053695784069260455e-01 2.380429587312038742e-01 3.177964253335940157e+02 1.654142234669246925e+00 4.989308436331509888e+00 -9.880369244523174999e-01 1.470280534246913184e+00 1.273495919044963731e+00 3.986364034059574735e+00
7.087913454867722862e+01 6.207247850562744418e+01 5.818384690035864892e-01 3.481162110449306235e-01 2.117349985418755409e+02 1.617091181099762132e+00 4.248930228369079742e+00 -8.730686248226018353e-01 2.301514869518714868e+00 1.318840715048599010e+00 3.981378994955507622e+00
7.162686800968285183e+01 6.138533872848653772e+01 6.931847420435733875e-01 2.404497876999324713e-01 2.582359287242617256e+02 1.597014303417294334e+00 4.295573064306119626e+00 -8.703716402744952063e-01 2.232456596919009328e+00 1.289459124296229886e+00 3.981436062140546461e+00
6.970750141937091371e+01 6.328346904562480546e+01 6.112613237974444669e-01 3.325184775465807041e-01 1.988563145287483849e+02 1.674419353290401480e+00 4.949235959784670236e+00 -1.127330666101659773e+00 1.629709171159404502e+00 1.311253714637373280e+00 3.986675966659285919e+00
7.005371771264650249e+01 6.278306590371025209e+01 5.962569200380470891e-01 3.402095124277235705e-01 1.678595844474270393e+02 1.587575584929715733e+00 4.295039979412737630e+00 -9.130317323423179365e-01 2.287948557206243905e+00 1.372714518471070066e+00 3.981707514786470448e+00
7.097453332899637246e+01 6.180995529141232936e+01 6.346813075490507217e-01 2.539339387210869381e-01 3.432152431060713411e+02 1.589214894068605499e+00 4.703319300133932401e+00 -9.767717150110912794e-01 1.781838464865756366e+00 1.432669139985482287e+00 3.984189200873561099e+00
7.192292450670973381e+01 6.071423238045701964e+01 5.422126952624402030e-01 3.627719337710643144e-01 2.133661891729919375e+02 1.661163628250617474e+00 4.343592192151900733e+00 -8.936599016638474557e-01 2.226288112150498932e+00 1.613410249286111320e+00 3.981852529078381053e+00
7.173458499251880482e+01 6.124002199646065492e+01 7.431940455765120301e-01 2.056100514416510372e-01 2.646341902439443174e+02 1.628428598768520086e+00 4.632638143386122564e+00 -9.690896819960990172e-01 1.893713472552539079e+00 1.370104396242375566e+00 3.983741094683709960e+00
7.278104752559347901e+01 6.003539703544763739e+01 5.460649918231129663e-01 2.893760889148898618e-01 2.321272862738557592e+02 1.650061478614570198e+00 4.918657701134763194e+00 -9.723135583933067982e-01 1.698558287700099756e+00 1.457749223897532920e+00 3.985830571596420846e+00
7.100892578935606991e+01 6.162404391092839262e+01 6.340523857769538862e-01 3.074954489569019511e-01 2.553816922128965530e+02 1.659981493827619614e+00 4.806088483728580663e+00 -1.009855169042613188e+00 1.751207618132049726e+00 1.543759844444542839e+00 3.985166805485614194e+00
6.821992069867503972e+01 6.425488965724804302e+01 5.368264073220918586e-01 3.491647013797773424e-01 2.920500273940174338e+02 1.584024821985100306e+00 4.733884481202967898e+00 -9.695822391749269187e-01 1.791996800223409014e+00 1.518756864005017748e+00 3.984497066173861679e+00
7.136044782754306937e+01 6.139970249546924919e+01 5.480154641229076917e-01 3.216661988435562392e-01 2.438949825736705748e+02 1.644004841103245518e+00 5.241978149698526934e+00 -9.899771349490100736e-01 1.374324778161589711e+00 1.437633555357348047e+00 3.988717740554745816e+00
6.922637586307914148e+01 6.392874709895197327e+01 7.247524271758862824e-01 3.024404392672905284e-01 2.269145459852818476e+02 1.640465726391084234e+00 5.058812926125527909e+00 -1.057858965814709729e+00 1.507221039499425874e+00 1.139618793714893830e+00 3.987185052141256403e+00
7.083485391147765142e+01 6.231136612976127509e+01 5.570412748330592079e-01 3.304673442374056469e-01 2.441187788716628688e+02 1.595332850382946033e+00 4.494772969308498567e+00 -9.141671694461762643e-01 2.057994914979771384e+00 1.176356298557975855e+00 3.982596910530020295e+00
6.897334391594856129e+01 6.428299031943925002e+01 7.103277455499302784e-01 3.037995358634177911e-01 2.948888958654076760e+02 1.595666420242261685e+00 4.685579427601347824e+00 -9.891459833813381897e-01 1.811392479291172863e+00 1.111453255761137626e+00 3.984128024518242661e+00
7.188488304707945531e+01 6.114308524373364406e+01 6.927783104590781171e-01 2.513185059209694372e-01 2.644903846374850787e+02 1.583677465745510160e+00 4.581034243219237467e+00 -9.810468742307970613e-01 1.946042519057492148e+00 1.267548891814022527e+00 3.983542196144337133e+00
7.058616751808939682e+01 6.203165874006289471e+01 5.666977878224571663e-01 3.101777316652046257e-01 2.414674263105746093e+02 1.640375323550778530e+00 5.253046433015358119e+00 -9.791464603863185845e-01 1.332453669613063774e+00 1.524984366513776779e+00 3.988798554062625179e+00
7.303310576513811725e+01 6.005543469803970424e+01 4.807959398657493111e-01 4.584094279864802668e-01 2.474601203748782439e+02 1.748956527124466476e+00 4.934099643046053529e+00 -1.024032175390783728e+00 1.669819694233570129e+00 1.341456013864401164e+00 3.986085210021579339e+00
7.095979486474143982e+01 6.210717097541628107e+01 6.328715673880207504e-01 3.284489806302560710e-01 2.793160471787563210e+02 1.629841573604589033e+00 5.026349285306227266e+00 -9.663299248969839939e-01 1.535893582918055111e+00 1.217334152573539718e+00 3.986697841477110593e+00
7.246563988331595851e+01 6.024036886907689592e+01 4.217201630699524695e-01 3.311631947241757690e-01 2.142307921724741391e+02 1.626168787705483121e+00 4.616939500883514569e+00 -9.629073137181597408e-01 1.980155340968543065e+00 1.438811660334473830e+00 3.983687888546229683e+00
7.138873595156751151e+01 6.142808629670616227e+01 6.078194142561663682e-01 3.044684636033447300e-01 2.777178170168269276e+02 1.652891965267227148e+00 5.046564964849993729e+00 -1.019466650254317264e+00 1.465049427463766873e+00 1.383192960591187459e+00 3.986927125516738002e+00
7.112862631936482671e+01 6.196248589167722542e+01 6.567338219204269523e-01 3.000884271613538101e-01 2.849003855127525071e+02 1.604732494055153280e+00 5.191719936069675967e+00 -9.606866297139563526e-01 1.370322289247406067e+00 1.177302407145718766e+00 3.988253271687426604e+00
6.977126744086331200e+01 6.307040243218386166e+01 5.223570493252512881e-01 3.728069218862889445e-01 3.240343546679733322e+02 1.571200876068120644e+00 5.122962662498818709e+00 -9.469978739158508851e-01 1.388227396876890785e+00 1.334827498967463555e+00 3.987507347822960568e+00
7.300935842322715530e+01 5.980877893858978211e+01 4.963575371741618669e-01 3.597289610783804270e-01 2.963108518763727375e+02 1.720682123901613236e+00 5.084411312839913322e+00 -9.989035261134193711e-01 1.449302267646709108e+00 1.475661056315966890e+00 3.987205488572547196e+00
6.894361118045799230e+01 6.378176948484004072e+01 6.400619661594352250e-01 3.262057761874569972e-01 2.262984256640966123e+02 1.607517519283957474e+00 4.449434750561157337e+00 -9.486646002611468509e-01 2.119528793573468128e+00 1.425530391103982497e+00 3.982625967556711721e+00
6.888945592247897309e+01 6.383193636076286026e+01 6.981164124708914009e-01 2.634476070935434233e-01 2.219741908128954151e+02 1.629140046332094860e+00 4.877199703983515100e+00 -1.023768130615341887e+00 1.694600559598233636e+00 1.475619686299131095e+00 3.985654397679416316e+00
7.087915059530247675e+01 6.205925092352285333e+01 7.800298466323731805e-01 2.331457338220072617e-01 2.643555227476424534e+02 1.586004177408565807e+00 5.274359483416662719e+00 -9.410882808243075104e-01 1.272279081853072036e+00 1.329996991002823981e+00 3.989049025668948367e+00
7.025405009894019770e+01 6.239635110043640509e+01 5.831158635298931969e-01 3.192586497736505935e-01 3.335234177807590186e+02 1.611427427326959538e+00 4.948383352082504238e+00 -9.684390192781966444e-01 1.542254016122712956e+00 1.475362611178465233e+00 3.986034728269605587e+00
6.932371589624327157e+01 6.397882373818416823e+01 6.973872099580973316e-01 2.916300931725050449e-01 2.123937367325068521e+02 1.565003979356965447e+00 5.388997186874290080e+00 -9.205002768563753657e-01 1.252411857167871734e+00 9.888953566403083650e-01 3.990390310121548101e+00
6.887022937689465607e+01 6.397660750260588713e+01 6.255671739200802106e-01 3.051995979394433456e-01 2.806119030935041678e+02 1.530680724208235866e+00 4.725656647580952274e+00 -9.853434598350589990e-01 1.802031237265200758e+00 1.228824837752101384e+00 3.984537304354076603e+00
7.090840777561948016e+01 6.173313833171523157e+01 4.143598563910429466e-01 4.189422314014539239e-01 1.678302625272360160e+02 1.675732764789535922e+00 4.766729345398660556e+00 -1.116694288263832213e+00 1.845709566541409163e+00 1.540738145036236073e+00 3.985540082702692111e+00
7.256163432148626669e+01 6.054517547625262353e+01 6.789168709180574135e-01 2.871476583366826540e-01 2.446075866682287767e+02 1.689066409822797876e+00 5.165914810870052776e+00 -9.935339550071705661e-01 1.389896852713702113e+00 1.347471601735954705e+00 3.987964324106224812e+00
7.224005351392521845e+01 6.056809790539903560e+01 4.565229708668613329e-01 3.748116648171829213e-01 2.749413570321725047e+02 1.656714863830382134e+00 5.045316038164580519e+00 -1.004685168945674834e+00 1.494638598969598720e+00 1.407790058470765659e+00 3.986875349299064286e+00
6.969659329838553674e+01 6.326722938866114276e+01 6.020952159716790320e-01 3.184971663402507702e-01 1.977496898647934529e+02 1.599979815680935502e+00 5.459025664286249580e+00 -9.003262140794098256e-01 1.218378363062492475e+00 1.248412533194235507e+00 3.991187411774757443e+00
6.996765572216254725e+01 6.300589346442335170e+01 6.959238362584840853e-01 2.520116640737720681e-01 2.998644402093792110e+02 1.592366932249595690e+00 5.040788415412149170e+00 -9.879921285139635634e-01 1.476786148998398440e+00 1.264267024709382792e+00 3.986818558670280677e+00
